Country Name,Country Code,Year,Value
India,IND,1960,36535925029.925
India,IND,1961,38709096075.0961
India,IND,1962,41599070245.0702
India,IND,1963,47776000903.0009
India,IND,1964,55726873075.8731
India,IND,1965,58760424674.5065
India,IND,1966,45253641300
India,IND,1967,49466168893.3333
India,IND,1968,52377324280
India,IND,1969,57668330026.6667
India,IND,1970,61589800520
India,IND,1971,66452561868.4154
India,IND,1972,70509913046.8528
India,IND,1973,84374541625.3338
India,IND,1974,98198276856.9136
India,IND,1975,97159222028.3357
India,IND,1976,101346972433.237
India,IND,1977,119866746569.343
India,IND,1978,135468782810.558
India,IND,1979,150950826964.984
India,IND,1980,183839864648.794
India,IND,1981,190909548793.872
India,IND,1982,198037712680.328
India,IND,1983,215350771423.861
India,IND,1984,209328156804.186
India,IND,1985,229410293755.209
India,IND,1986,245664654064.834
India,IND,1987,275311425330.609
India,IND,1988,292632656261.441
India,IND,1989,292093308316.929
India,IND,1990,316697337894.532
India,IND,1991,266502281092.721
India,IND,1992,284363884079.92
India,IND,1993,275570363432.31
India,IND,1994,322909902308.131
India,IND,1995,355475984176.175
India,IND,1996,387656017799.599
India,IND,1997,410320300471.227
India,IND,1998,415730874172.06
India,IND,1999,452699998386.955
India,IND,2000,462146799336.77
India,IND,2001,478965491061.694
India,IND,2002,508068952065.959
India,IND,2003,599592902016.212
India,IND,2004,699688852930.441
India,IND,2005,808901077222.092
India,IND,2006,920316529729.61
India,IND,2007,1201111768409.39
India,IND,2008,1186952757635.85
India,IND,2009,1323940295874.9
India,IND,2010,1656617073124.21
India,IND,2011,1823049927771.46
India,IND,2012,1827637859135.7
India,IND,2013,1856722121394.53
India,IND,2014,2035393459979.46
India,IND,2015,2089865410867.82
India,IND,2016,2263792499341.01
India,IND,2017,2532534634544.12
India,IND,2018,2702000000000.53
India,IND,2019,2831000000000.24
India,IND,2020,2667690000000.81
India,IND,2021,3176300000000.01
India,IND,2022,3363792499341.01
